date,country,cases,deaths,population,gdp,density_per_sqr_km
2020-02-27,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-28,Austria,3,0,8877067.0,50137.6627762476,107.131858943286
2020-02-29,Austria,2,0,8877067.0,50137.6627762476,107.131858943286
2020-03-01,Austria,3,0,8877067.0,50137.6627762476,107.131858943286
2020-03-02,Austria,4,0,8877067.0,50137.6627762476,107.131858943286
2020-03-03,Austria,4,0,8877067.0,50137.6627762476,107.131858943286
2020-03-04,Austria,6,0,8877067.0,50137.6627762476,107.131858943286
2020-03-05,Austria,5,0,8877067.0,50137.6627762476,107.131858943286
2020-03-06,Austria,12,0,8877067.0,50137.6627762476,107.131858943286
2020-03-07,Austria,33,0,8877067.0,50137.6627762476,107.131858943286
2020-03-08,Austria,25,0,8877067.0,50137.6627762476,107.131858943286
2020-03-09,Austria,3,0,8877067.0,50137.6627762476,107.131858943286
2020-03-10,Austria,29,0,8877067.0,50137.6627762476,107.131858943286
2020-03-11,Austria,51,0,8877067.0,50137.6627762476,107.131858943286
2020-03-12,Austria,64,0,8877067.0,50137.6627762476,107.131858943286
2020-03-13,Austria,115,1,8877067.0,50137.6627762476,107.131858943286
2020-03-14,Austria,143,0,8877067.0,50137.6627762476,107.131858943286
2020-03-15,Austria,151,0,8877067.0,50137.6627762476,107.131858943286
2020-03-16,Austria,205,0,8877067.0,50137.6627762476,107.131858943286
2020-03-17,Austria,156,2,8877067.0,50137.6627762476,107.131858943286
2020-03-18,Austria,316,0,8877067.0,50137.6627762476,107.131858943286
2020-03-19,Austria,314,1,8877067.0,50137.6627762476,107.131858943286
2020-03-20,Austria,550,2,8877067.0,50137.6627762476,107.131858943286
2020-03-21,Austria,453,0,8877067.0,50137.6627762476,107.131858943286
2020-03-22,Austria,375,2,8877067.0,50137.6627762476,107.131858943286
2020-03-23,Austria,607,8,8877067.0,50137.6627762476,107.131858943286
2020-03-24,Austria,855,9,8877067.0,50137.6627762476,107.131858943286
2020-03-25,Austria,796,5,8877067.0,50137.6627762476,107.131858943286
2020-03-26,Austria,606,4,8877067.0,50137.6627762476,107.131858943286
2020-03-27,Austria,1141,18,8877067.0,50137.6627762476,107.131858943286
2020-03-28,Austria,668,16,8877067.0,50137.6627762476,107.131858943286
